title,abstract
Controlled equilibrium selection in stochastically perturbed dynamics,"  We consider a dynamical system with finitely many equilibria and perturbed by
small noise, in addition to being controlled by an `expensive' control. The
controlled process is optimal for an ergodic criterion with a running cost that
consists the sum of the control effort and a penalty function on the state
space. We study the optimal stationary distribution of the controlled process
as the variance of the noise becomes vanishingly small. It is shown that
depending on the relative magnitudes of the noise variance and the `running
cost' for control, one can identify three regimes, in each of which the optimal
control forces the invariant distribution of the process to concentrate near
equilibria that can be characterized according to the regime. We also obtain
moment bounds for the optimal stationary distribution. Moreover, we show that
in the vicinity of the points of concentration the density of optimal
stationary distribution approximates the density of a Gaussian, and we
explicitly solve for its covariance matrix.
"
"Linear Temporal Logic and Propositional Schemata, Back and Forth
  (extended version)","  This paper relates the well-known Linear Temporal Logic with the logic of
propositional schemata introduced by the authors. We prove that LTL is
equivalent to a class of schemata in the sense that polynomial-time reductions
exist from one logic to the other. Some consequences about complexity are
given. We report about first experiments and the consequences about possible
improvements in existing implementations are analyzed.
"
Hubbard ring: currents induced by change of magnetic flux,"  We investigate currents in a quantum ring threaded by a magnetic flux which
can be varied in an arbitrary way from an initial value $\phi_i$ at time $t_i$
to a final value $\phi_f$ at time $t_f$. Dynamics of electrons in the ring is
described by the Hubbard and the extended Hubbard models. We demonstrate that
time dependence of the induced current bears information on electron
correlations. In the case of the Hubbard model with infinite on--site repulsion
we prove that the current for $t>t_f$ is independent of the flux variation
before $t_f$. Additionally, this current is fully determined by a solution of
the initial equilibrium problem and the value of $\phi_f$. Apart from
mesoscopic rings our results pose important implications for designing of
quantum motors built out as the ring--shaped optical lattice.
"
Algebraic Modules and the Auslander--Reiten Quiver,"  Recall that an algebraic module is a KG-module that satisfies a polynomial
with integer coefficients, with addition and multiplication given by direct sum
and tensor product. In this article we prove that non-periodic algebraic
modules are very rare, and that if the complexity of an algebraic module is at
least 3, then it is the only algebraic module on its component of the (stable)
Auslander--Reiten quiver. We include a strong conjecture on the relationship
between periodicity and algebraicity.
"
Diffusion Of Indigo Molecules Inside The Palygorskite Clay Channels,"  The search for durable dyes led several past civilizations to develop
artificial pigments. Maya Blue (MB), manufactured in pre-Columbian Mesoamerica,
is one of the best known examples of an organic-inorganic hybrid material. Its
durability is due to the unique association of indigo molecule and
palygorskite, a particular fibrous clay occurring in Yucatan. Despite 50 years
of sustained interest, the microscopic structure of MB and its relation to the
durability remain open questions. Combining new thermogravimetric and
synchrotron X-ray diffraction analyses, we show that indigo molecules can
diffuse into the channel of the palygorskite during the heating process,
replacing zeolitic water and stabilizing the room temperature phases of the
clay.
"
"The interstellar medium and the massive stellar content toward the SNR
  G18.1-0.1 and neighboring HII regions","  We perform a multiwavelength study toward the SNR G18.1-0.1 and nearby
several HII regions (infrared dust bubbles N21 and N22, and the HII regions
G018.149-00.283 and G18.197-00.181). Our goal is to provide observational
evidence supporting that massive stars usually born in clusters from the same
molecular cloud, which then produce, along their evolution, different
neighboring objects such as HII regions, interstellar bubbles and supernova
remnants. We suggest that the objects analysed in this work belong to a same
complex located at the distance of about 4 kpc. Using molecular data we
inspected the interstellar medium toward this complex and from optical and
X-ray observations we looked for OB-type stars in the region. Analysing public
13CO J=1--0 data we found several molecular structures very likely related to
the HII region/SNR complex. We suggest that the molecular gas is very likely
being swept and shaped by the expansion of the HII regions. From spectroscopic
optical observations obtained with the 2.15 m telescope at CASLEO, Argentina,
we discovered three O-type stars very likely exciting the bubbles N21 and N22,
and an uncatalogued HII region northward bubble N22, respectively. Also we
found four B0-5 stars, one toward the bubble N22 and the others within the HII
region G18.149-0.283. By inspecting the Chandra Source Catalog we found two
point X-ray sources and we suggest that one of them is an early O-type star.
Finally we inspected the large scale interstellar medium around this region. We
discovered a big molecular shell of about 70 pc x 28 pc in which the analysed
complex appears to be located in its southern border.
"
"The Physical Nature and Orbital Behavior of the Eclipsing System DK
  Cygni","  New CCD photometry is presented for the hot overcontact binary DK Cyg,
together with reasonable explanations for the light and period variations.
Historical light and velocity curves from 1962 to 2012 were simultaneously
analyzed with the Wilson-Devinney (W-D) synthesis code. The brightness
disturbances were satisfactorily modeled by applying a magnetic cool spot on
the primary star. Based on 261 times of minimum light including 116 new timings
and spanning more than 87 yrs, a period study reveals that the orbital period
has varied due to a periodic oscillation superposed on an upward parabola. The
period and semi-amplitude of the modulation are about 78.1 yrs and 0.0037 d,
respectively. This detail is interpreted as a light-travel-time effect due to a
circumbinary companion with a minimum mass of $M_3$=0.065 $M_\odot$, within the
theoretical limit of $\sim$0.07 M$_\odot$ for a brown dwarf star. The observed
period increase at a fractional rate of $+$2.74 $\times $10$^{-10}$ is in
excellent agreement with that calculated from our W-D synthesis. Mass transfer
from the secondary to the primary component is mainly responsible for the
secular period change. We examined the evolutionary status of the DK Cyg system
from the absolute dimensions.
"
Optimal quotients of Jacobians with toric reduction and component groups,"  Let J be a Jacobian variety with toric reduction over a local field K. Let J
-> E be an optimal quotient defined over K, where E is an elliptic curve. We
give examples in which the functorially induced map \Phi_J -> \Phi_E on
component groups of the N\'eron models is not surjective. This answers a
question of Ribet and Takahashi. We also give various criteria under which
\Phi_J -> \Phi_E is surjective, and discuss when these criteria hold for the
Jacobians of modular curves.
"
"Nuclear Bar Catalyzed Star Formation: 13^CO, C18^O and Molecular Gas
  Properties in the Nucleus of Maffei 2","  (Abridged) We present resolution maps of CO, its isotopologues, and HCN from
in the center of Maffei 2. The J=1-0 rotational lines of 12^CO, 13^CO, C18^O
and HCN, and the J=2-1 lines of 13^CO and C18^O were observed with the OVRO and
BIMA arrays. The 2-1/1-0 line ratios of the isotopologues constrain the bulk of
the molecular gas to originate in low excitation, subthermal gas. From LVG
modeling, we infer that the central GMCs have n(H_2) ~10^2.75 cm^-3 and T_k ~
30 K. Continuum emission at 3.4 mm, 2.7 mm and 1.4 mm was mapped to determine
the distribution and amount of HII regions and dust. Column densities derived
from C18^O and 1.4 mm dust continuum fluxes indicate the CO conversion factor
in the center of Maffei 2 is lower than Galactic by factors of ~2-4. Gas
morphology and the clear ``parallelogram'' in the Position-Velocity diagram
shows that molecular gas orbits within the potential of a nuclear (~220 pc)
bar. The nuclear bar is distinct from the bar that governs the large scale
morphology of Maffei 2. Giant molecular clouds in the nucleus are nonspherical
and have large linewidths. Dense gas and star formation are concentrated at the
sites of the x_1-x_2 orbit intersections of the nuclear bar, suggesting that
the starburst is dynamically triggered.
"
"Relations in Grassmann Algebra Corresponding to Three- and
  Four-Dimensional Pachner Moves","  New algebraic relations are presented, involving anticommuting Grassmann
variables and Berezin integral, and corresponding naturally to Pachner moves in
three and four dimensions. These relations have been found experimentally -
using symbolic computer calculations; their essential new feature is that,
although they can be treated as deformations of relations corresponding to
torsions of acyclic complexes, they can no longer be explained in such terms.
In the simpler case of three dimensions, we define an invariant, based on our
relations, of a piecewise-linear manifold with triangulated boundary, and
present example calculations confirming its nontriviality.
"
"Characterization and performances of new indium loaded organic liquid
  scintillators, based on novel indium carboxilate compounds","  A novel formulation to dope organic liquid scintillators (OLS) with indium at
concentrations up to 10% is presented: it is based on specific indium
carboxylate compounds adequately synthesized. The produced In-OLS has been
characterized: it has light yield 8500 ph/MeV at indium concentration 5.5% and
light attenuation length of 2,5 m at wavelength of 430 nm. The scintillator
properties were stable during all time of investigation (~ 1 years). The
produced In-OLS is compared to other In-OLS formulations and shows superior
performances. The developed methodic to metal dope OLS can be easily extended
to other metals as Gd, Nd, Cd.
"
"2nd Workshop on Cognitive Architectures for Social Human-Robot
  Interaction 2016 (CogArch4sHRI 2016)","  This volume is the proceedings of the 2nd workshop on Cognitive Architectures
for Social Human-Robot Interaction, held at the ACM/IEEE HRI 2016 conference,
which took place on Monday 7th March 2016, in Christchurch, New Zealand.
  Organised by Paul Baxter (Plymouth University, U.K.), J. Gregory Trafton
(Naval Research Laboratory, USA), and Severin Lemaignan (Plymouth University,
U.K.).
"
On pairwise distances and median score of three genomes under DCJ,"  In comparative genomics, the rearrangement distance between two genomes
(equal the minimal number of genome rearrangements required to transform them
into a single genome) is often used for measuring their evolutionary
remoteness. Generalization of this measure to three genomes is known as the
median score (while a resulting genome is called median genome). In contrast to
the rearrangement distance between two genomes which can be computed in linear
time, computing the median score for three genomes is NP-hard. This inspires a
quest for simpler and faster approximations for the median score, the most
natural of which appears to be the halved sum of pairwise distances which in
fact represents a lower bound for the median score.
  In this work, we study relationship and interplay of pairwise distances
between three genomes and their median score under the model of
Double-Cut-and-Join (DCJ) rearrangements. Most remarkably we show that while a
rearrangement may change the sum of pairwise distances by at most 2 (and thus
change the lower bound by at most 1), even the most ""powerful"" rearrangements
in this respect that increase the lower bound by 1 (by moving one genome
farther away from each of the other two genomes), which we call strong, do not
necessarily affect the median score. This observation implies that the two
measures are not as well-correlated as one's intuition may suggest.
  We further prove that the median score attains the lower bound exactly on the
triples of genomes that can be obtained from a single genome with strong
rearrangements. While the sum of pairwise distances with the factor 2/3
represents an upper bound for the median score, its tightness remains unclear.
Nonetheless, we show that the difference of the median score and its lower
bound is not bounded by a constant.
"
Models of mixed hadron-quark-gluon matter,"  The problem of the possible creation of mixed hadron-quark-gluon matter, that
can arise at nuclear or heavy-ion collisions, is addressed. It is shown that
there can exist several different kinds of such a mixed matter. The main types
of this matter can be classified onto macroscopic mixture, mesoscopic mixture,
and microscopic mixture. Different types of these mixtures require principally
different descriptions. Before comparing theoretical results with experiments,
one has to analyze thermodynamic stability of all these mixed states,
classifying them onto unstable, metastable, and stable. Only the most stable
mixed state should be compared with experiment. Mixed states also need to be
checked with regard to stratification instability. In addition to the static
stratification instability, there can happen dynamic instability occurring in a
mixture of components moving with respect to each other. This effect, called
counterflow instability, has also to be taken into account, since it can lead
to the stratification of mixed matter.
"
"A Method for Selecting Noun Sense using Co-occurrence Relation in
  English-Korean Translation","  The sense analysis is still critical problem in machine translation system,
especially such as English-Korean translation which the syntactical different
between source and target languages is very great. We suggest a method for
selecting the noun sense using contextual feature in English-Korean
Translation.
"
From Stopping to Viscosity in Nuclear Reactions,"  Data on stopping in intermediate-energy central heavy-ion collisions are
analyzed following transport theory based on the Boltzmann equation. In
consequence, values of nuclear shear viscosity are inferred. The inferred
values are significantly larger than obtained for free nucleon dispersion
relations and free nucleon-nucleon cross sections.
"
Non-Abelian Strings: From Weak to Strong Coupling and Back via Duality,"  The crossover transition from weak coupling at large \xi to strong coupling
at small \xi is studied in N=2 supersymmetric gauge theory with the U(N) gauge
group and N_f>N (here \xi is the Fayet--Iliopoulos parameter). We find that at
strong coupling a dual non-Abelian weakly coupled N=2 theory exists which
describes low-energy physics at small \xi. The dual gauge group is U(N_f-N).
The dual theory has N_f flavors of light dyons, to be compared with N_f quarks
in the original U(N) theory. Both theories support non-Abelian strings. In each
of these two regimes there are two varieties of physical excitations:
elementary fields and nonperturbative composite states bound by confining
strings. These varieties interchange upon transition from one regime to the
other. We conjecture that the composite stringy states can be related to
Seiberg's M fields.
"
Lagrangian cobordism in Lefschetz fibrations,"  Given a symplectic manifold $(M^{2n},\omega)$ we study Lagrangian cobordisms
$V\subset E$ where $E$ is the total space of a Lefschetz fibration having $M$
as generic fiber. We prove a generation result for these cobordisms in the
appropriate derived Fukaya category. As a corollary, we analyze the relations
among the Lagrangian submanifolds $L\subset M$ that are induced by these
cobordisms. This leads to a unified treatment - and a generalization - of the
two types of relations among Lagrangian submanifolds of $M$ that were
previously identified in the literature: those associated to Dehn twists that
were discovered by Seidel and the relations induced by cobordisms in trivial
symplectic fibrations described in our previous work.
"
"Universal heat conduction -- the thermodynamics of some weakly nonlocal
  theories","  A linear irreversible thermodynamic framework of heat conduction in rigid
conductors is introduced. The deviation from local equilibrium is characterized
by a single internal variable and a current intensity factor. A general
constitutive evolution equation of the current density of the internal energy
is derived by introducing linear relationship between the thermodynamic forces
and fluxes. The Fourier, Maxwell-Cattaneo-Vernotte, Guyer-Krumhansl, Jeffreys
type and Green-Naghdi type equations of heat conduction are obtained as special
cases. The universal character of the approach is demonstrated by two examples.
Solutions illustrating the properties of the equation with jump boundary
conditions are given.
"
A Wireless Channel Sounding System for Rapid Propagation Measurements,"  Wireless systems are getting deployed in many new environments with different
antenna heights, frequency bands and multipath conditions. This has led to an
increasing demand for more channel measurements to understand wireless
propagation in specific environments and assist deployment engineering. We
design and implement a rapid wireless channel sounding system, using the
Universal Software Radio Peripheral (USRP) and GNU Radio software, to address
these demands. Our design measures channel propagation characteristics
simultaneously from multiple transmitter locations. The system consists of
multiple battery-powered transmitters and receivers. Therefore, we can set-up
the channel sounder rapidly at a field location and measure expeditiously by
analyzing different transmitters signals during a single walk or drive through
the environment. Our design can be used for both indoor and outdoor channel
measurements in the frequency range of 1 MHz to 6 GHz. We expect that the
proposed approach, with a few further refinements, can transform the task of
propagation measurement as a routine part of day-to-day wireless network
engineering.
"
The Metallicity of the CM Draconis System,"  The CM Draconis system comprises two eclipsing mid-M dwarfs of nearly equal
mass in a 1.27-day orbit. This well-studied eclipsing binary has often been
used for benchmark tests of stellar models, since its components are amongst
the lowest mass stars with well-measured masses and radii (~ 1% relative
precision). However, as with many other low-mass stars, non-magnetic models
have been unable to match the observed radii and effective temperatures for CM
Dra at the 5-10% level. To date, the uncertain metallicity of the system has
complicated comparison of theoretical isochrones with observations. In this
Letter, we use data from the SpeX instrument on the NASA Infrared Telescope
Facility (IRTF) to measure the metallicity of the system during primary and
secondary eclipses, as well as out of eclipse, based on an empirical
metallicity calibration in the H and K near-infrared (NIR) bands. We derive a
[Fe/H] = -0.30 +- 0.12 that is consistent across all orbital phases. The
determination of [Fe/H] for this system constrains a key dimension of parameter
space when attempting to reconcile model isochrone predictions and
observations.
"
"Non-Hermitian Dirac Hamiltonian in three dimensional gravity and
  pseudo-supersymmetry","  The Dirac Hamiltonian in the (2+1) dimensional curved space-time has been
studied with a metric for an expanding de Sitter space-time which is a two
sphere. The spectrum and the exact solutions of the time dependent
non-Hermitian and angle dependent Hamiltonians are obtained in terms of the
Jacobi and Romanovski polynomials. Hermitian equivalent of the Hamiltonian
obtained from the Dirac equation is discussed in the frame of
pseudo-Hermiticity. Furthermore, pseudo-supersymmetric quantum mechanical
techniques are expanded to a curved Dirac Hamiltonian and a partner curved
Dirac Hamiltonian is generated. Using \eta-pseudo-Hermiticity, the intertwining
operator connecting the non-Hermitian Hamiltonians to the Hermitian
counterparts is found. We have obtained a new metric tensor related to the new
Hamiltonian.
"
"Maximal Inequalities and Riesz Transform Estimates on $L^p$ Spaces for
  Magnetic Schrodinger Operators II","  The paper concerns the magnetic Schr\""odinger operator on $R^n$. We prove
some $L^p$ estimates on the Riesz transforms and we establish some related
maximal inequalities. The conditions that we arrive at, are essentially based
on the control of the magnetic field by the electric potential.
"
Metal Absorption Systems in Spectra of Pairs of QSOs,"  We present the first large sample of absorption systems in paired QSOs
consisting of 691 absorption systems in the spectra of 310 QSOs including 170
pairings. All these absorption systems have metal lines, usually C IV or Mg II.
We see 17 cases of absorption in one line-of-sight within 200 km/s (1 Mpc) of
absorption in the paired line-of-sight with the probability at least approx 50%
at 100kpc, declining rapidly to 23% at 100 - 200 kpc. We detect clustering on
0.5Mpc scales and see a hint of the ""fingers of God"" redshift-space distortion.
The distribution matches absorbers arising in galaxies at z=2 with a normal
correlation function and systematic infall velocities but unusually low random
pair-wise velocity differences. Absorption in gas flowing out from galaxies at
a mean velocity of 250 km/s would produce vastly more elongation than we see.
The UV absorption from fast winds that Adelberger et al. 2005 see in spectra of
LBGs is not representative of the absorption that we see. Either the winds are
confined to LBGs, or they can not extend to 40 kpc with large velocities, while
continuing to make UV absorption we see, implying most metals were in place in
the IGM long before z=2. Separately, when we examine the absorption seen when a
sight line passes a second QSO, we see 19 absorbers within 400 km/s of the
partner QSO. The probability of seeing absorption is approximately constant for
impact parameters 0.1 - 1.5 Mpc. Perhaps we do not see a rapid rise in the
probability at small impact parameters because the UV from QSOs destroys some
absorbers near to the QSOs. The 3D distribution of 64 absorbers around 313 QSOs
is to first order isotropic, with just a hint of the anisotropy expected if the
QSO UV emission is beamed, or alternatively QSOs might emit UV isotropically
but for a surprisingly short time of only 0.3Myr.
"
"An Improved Procedure for Selecting the Profiles of Perfectly Matched
  Layers","  The perfectly matched layers (PMLs), as a boundary termination over an
unbounded spatial domain, are widely used in numerical simulations of wave
propagation problems. Given a set of discretization parameters, a procedure to
select the PML profiles based on minimizing the discrete reflectivity is
established for frequency domain simulations. We, by extending the function
class and adopting a direct search method, improve the former procedure for
traveling waves.
"
"Inference for censored quantile regression models in longitudinal
  studies","  We develop inference procedures for longitudinal data where some of the
measurements are censored by fixed constants. We consider a semi-parametric
quantile regression model that makes no distributional assumptions. Our
research is motivated by the lack of proper inference procedures for data from
biomedical studies where measurements are censored due to a fixed
quantification limit. In such studies the focus is often on testing hypotheses
about treatment equality. To this end, we propose a rank score test for large
sample inference on a subset of the covariates. We demonstrate the importance
of accounting for both censoring and intra-subject dependency and evaluate the
performance of our proposed methodology in a simulation study. We then apply
the proposed inference procedures to data from an AIDS-related clinical trial.
We conclude that our framework and proposed methodology is very valuable for
differentiating the influences of predictors at different locations in the
conditional distribution of a response variable.
"
"Prandtl-Blasius temperature and velocity boundary layer profiles in
  turbulent Rayleigh-B\'{e}nard convection","  The shape of velocity and temperature profiles near the horizontal conducting
plates in turbulent Rayleigh-B\'{e}nard convection are studied numerically and
experimentally over the Rayleigh number range $10^8\lesssim
Ra\lesssim3\times10^{11}$ and the Prandtl number range $0.7\lesssim
Pr\lesssim5.4$. The results show that both the temperature and velocity
profiles well agree with the classical Prandtl-Blasius laminar boundary-layer
profiles, if they are re-sampled in the respective dynamical reference frames
that fluctuate with the instantaneous thermal and velocity boundary-layer
thicknesses.
"
"Reply to Comment on ""Failure of the work-Hamiltonian connection for
  free-energy calculations"" by Horowitz and Jarzynski","  We show that the Comment [arXiv:0808.1224] by Horowitz and Jarzynski obtains
as a main result a general free energy change for a harmonic system that in the
macroscopic limit does not recover the textbook expression for the energy
change of a Hookean spring. The reason is that Horowitz and Jarzynski
improperly identify work with parametric changes of the Hamiltonian instead of
with the standard quantity, force times displacement.
"
Complexity of Existential Positive First-Order Logic,"  Let gamma be a (not necessarily finite) structure with a finite relational
signature. We prove that deciding whether a given existential positive sentence
holds in gamma is in Logspace or complete for the class CSP(gamma)_NP under
deterministic polynomial-time many-one reductions. Here, CSP(gamma)_NP is the
class of problems that can be reduced to the Constraint Satisfaction Problem of
gamma under non-deterministic polynomial-time many-one reductions.
"
"Modular Description of a Comprehensive Semantics Model for the UML
  (Version 2.0)","  In this document, we introduce a system model as a semantic domain for the
Unified Modeling Language (UML) [OMG07a, OMG07b]. The system model is supposed
to form a possible core and foundation of the UML semantics definition. For
that purpose, the definitions in this document are targeted towards UML which
means that central concepts of UML have been formalized as theories of the
system model. This document is structured as follows: In the rest of Chapter 1,
we discuss the general approach and highlight the main decisions. This chapter
is important to understand the rest of this document. Chapter 2 contains the
definition of the structural part of the system model. Chapters 3 and 4 contain
the control and communication related definition definitions which form the
basis to describe the state of a system in Chapter 5. Two variants of state
transitions systems are introduced to define object behavior in Chapters 6
(event-based) and 7 (timed). Chapter 8 concludes the document. This document is
the second version of the system model which is the result of a major effort to
define the structure, behavior and interaction of object oriented, possibly
distributed systems abstract enough to be of general value, but also in
sufficient detail for a semantic foundation of the UML. The first version of
the system model can be found in [BCR06, BCR07a, BCR07b].
"
Structure of infinitely divisible semimartingales,"  This paper gives a complete characterization of infinitely divisible
semimartingales, i.e., semimartingales whose finite dimensional distributions
are infinitely divisible. An explicit and essentially unique decomposition of
such semimartingales is obtained. A new approach, combining series
decompositions of infinitely divisible processes with detailed analysis of
their jumps, is presented. As an ilustration of the main result, the
semimartingale property is explicitely determined for a large class of
stationary increment processes and several examples of processes of interest
are considered. These results extend Stricker's theorem characterizing Gaussian
semimartingales and Knight's theorem describing Gaussian moving average
semimartingales, in particular.
"
Recent developments in superstatistics,"  We provide an overview on superstatistical techniques applied to complex
systems with time scale separation. Three examples of recent applications are
dealt with in somewhat more detail: the statistics of small-scale velocity
differences in Lagrangian turbulence experiments, train delay statistics on the
British rail network, and survival statistics of cancer patients once diagnosed
with cancer. These examples correspond to three different universality classes:
Lognormal superstatistics, chi-square superstatistics and inverse chi-square
superstatistics.
"
Counting Gauge Invariant Operators in SQCD with Classical Gauge Groups,"  We use the plethystic programme and the Molien-Weyl fomula to compute
generating functions, or Hilbert Series, which count gauge invariant operators
in SQCD with the SO and Sp gauge groups. The character expansion technique
indicates how the global symmetries are encoded in the generating functions. We
obtain the full character expansion for each theory with arbitrary numbers of
colours and flavours. We study the orientifold action on SQCD with the SU gauge
group and examine how it gives rise to SQCD with the SO and Sp gauge groups. We
establish that the classical moduli space of SQCD is not only irreducible, but
is also an affine Calabi-Yau cone over a weighted projective variety.
"
"U(1)' solution to the mu-problem and the proton decay problem in
  supersymmetry without R-parity","  The Minimal Supersymmetric Standard Model (MSSM) is plagued by two major
fine-tuning problems: the mu-problem and the proton decay problem. We present a
simultaneous solution to both problems within the framework of a U(1)'-extended
MSSM (UMSSM), without requiring R-parity conservation. We identify several
classes of phenomenologically viable models and provide specific examples of
U(1)' charge assignments. Our models generically contain either lepton number
violating or baryon number violating renormalizable interactions, whose
coexistence is nevertheless automatically forbidden by the new U(1)' gauge
symmetry. The U(1)' symmetry also prohibits the potentially dangerous and often
ignored higher-dimensional proton decay operators such as QQQL and UUDE which
are still allowed by R-parity. Thus, under minimal assumptions, we show that
once the mu-problem is solved, the proton is sufficiently stable, even in the
presence of a minimum set of exotics fields, as required for anomaly
cancellation. Our models provide impetus for pursuing the collider
phenomenology of R-parity violation within the UMSSM framework.
"
"Non-empirical Study of Superconductivity in Alkali-doped Fullerides
  Based on Density Functional Theory for Superconductors","  We apply the density functional theory for superconductors (SCDFT) based on
the local-density approximation (LDA) to alkali-doped fullerides A3C60 with the
face-centered cubic structure. We evaluate the superconducting transition
temperature (Tc) from first principles considering energy dependence of
electron-phonon coupling, the mass renormalization, and the retardation effect.
The calculated Tc=7.5, 9.0 and 15.7 K for A=K, Rb, Cs are approximately 60 %
smaller than the experimentally observed values. Our results strongly suggest
necessity to go beyond the framework of the Migdal-Eliashberg theory based on
the LDA.
"
A Borel-reducibility Counterpart of Shelah's Main Gap Theorem,"  We study the Borel-reducibility of isomorphism relations of complete first
order theories and show the consistency of the following: For all such theories
T and T', if T is classifiable and T' is not, then the isomorphism of models of
T' is strictly above the isomorphism of models of T with respect to
Borel-reducibility. In fact, we can also ensure that a range of equivalence
relations modulo various non-stationary ideals are strictly between those
isomorphism relations. The isomorphism relations are considered on models of
some fixed uncountable cardinality obeying certain restrictions.
"
Fast and Accurate Detection of Multiple QTL,"  We present a new computational scheme that enables efficient and reliable
Quantitative Trait Loci (QTL) scans for experimental populations. Using a
standard brute-force exhaustive search effectively prohibits accurate QTL scans
involving more than two loci to be performed in practice, at least if
permutation testing is used to determine significance. Some more elaborate
global optimization approaches, e.g. DIRECT, have earlier been adopted to QTL
search problems. Dramatic speedups have been reported for high-dimensional
scans. However, since a heuristic termination criterion must be used in these
types of algorithms the accuracy of the optimization process cannot be
guaranteed. Indeed, earlier results show that a small bias in the significance
thresholds is sometimes introduced.
  Our new optimization scheme, PruneDIRECT, is based on an analysis leading to
a computable (Lipschitz) bound on the slope of a transformed objective
function. The bound is derived for both infinite size and finite size
populations. Introducing a Lipschitz bound in DIRECT leads to an algorithm
related to classical Lipschitz optimization. Regions in the search space can be
permanently excluded (pruned) during the optimization process. Heuristic
termination criteria can thus be avoided. Hence, PruneDIRECT has a well-defined
error bound and can in practice be guaranteed to be equivalent to a
corresponding exhaustive search. We present simulation results that show that
for simultaneous mapping of three QTL using permutation testing, PruneDIRECT is
typically more than 50 times faster than exhaustive search. The speedup is
higher for stronger QTL. This could be used to quickly detect strong candidate
eQTL networks.
"
On the Age of the Widest Very Low Mass Binary,"  We have recently identified the widest very low-mass binary (2M0126AB),
consisting of an M6.5V and an M8V dwarf with a separation of ~5100 AU, which is
twice as large as that of the second widest known system and an order of
magnitude larger than those of all other previously known wide very low-mass
binaries. If this binary belongs to the field population, its constituents
would have masses of ~0.09 Msun, at the lower end of the stellar regime.
However, in the discovery paper we pointed out that its proper motion and
position in the sky are both consistent with being a member of the young (30
Myr) Tucana/Horologium association, raising the possibility that the binary is
a pair of ~0.02 Msun brown dwarfs. We obtained optical spectroscopy at the
Gemini South Observatory in order to constrain the age of the pair and clarify
its nature. The absence of lithium absorption at 671 nm, modest Halpha
emission, and the strength of the gravity-sensitive Na doublet at 818 nm all
point toward an age of at least 200 Myr, ruling out the possibility that the
binary is a member of Tucana/Horologium. We further estimate that the binary is
younger than 2 Gyr based on its expected lifetime in the galactic disk.
"
Regularization of certain divergent series of polynomials,"  We investigate the Cesaro and Abel sums of divergent series of the form
$\sum_{n\geq 0} a_n T^nP(x)$, where $P$ is a real polynomial and $T$ is a
translation invariant operator on the space of real polynomials.
"
"On the infrared limit of Horava's gravity with the global Hamiltonian
  constraint","  We show that Horava's theory of gravitation with the global Hamiltonian
constraint does not reproduce General Relativity in the infrared domain. There
is one extra propagating degree of freedom, besides those two associated with
the massless graviton, which does not decouple.
"
Product of statistical manifolds with a non-diagonal metric,"  In this paper, we generalize the dualistic structures on warped product
manifolds to the dualistic structures on generalized warped product manifolds.
we develop an expression of curvature for the connection of the generalized
warped product in relation to those corresponding analogues of its base and
fiber and warping functions. we show that the dualistic structures on the base
$M_{_1}$ and the fiber $M_{_2}$ induces a dualistic structure on the
generalized warped product $M_1\times M_2$ and conversely, moreover,
$(M_{_1}\times M_{_1},G_{_{f_{_1}f_{_2}}})$ or $(M_{_1}\times
M_{_1},\tilde{g}_{_{f_{_1}f_{_2}}})$ is statistical manifold if and only if
$(M_{_1},g_{_1})$ and $(M_{_1},g_{_1})$ are. Finally, Some interesting
consequences are also given.
"
Zeptosecond $\gamma$-ray pulses,"  High-order harmonic generation (HHG) in the relativistic regime is employed
to obtain zeptosecond pulses of $\gamma$-rays. The harmonics are generated from
atomic systems in counterpropagating strong attosecond laser pulse trains of
linear polarization. In this setup recollisions of the ionized electrons can be
achieved in the highly relativistic regime via a reversal of the commonly
deteriorating drift and without instability of the electron dynamics such as in
a standing laser wave. As a result, coherent attosecond $\gamma$-rays in the 10
MeV energy range as well as coherent zeptosecond $\gamma$-ray pulses of MeV
photon energy for time-resolved nuclear spectroscopy become feasible.
"
Dependence of Effective Mass on Spin and Valley Degrees of Freedom,"  We measure the effective mass (m*) of interacting two-dimensional electrons
confined to an AlAs quantum well while we change the conduction-band valley
occupation and the spin polarization via the application of strain and magnetic
field, respectively. Compared to its band value, m* is enhanced unless the
electrons are fully valley and spin polarized. Incidentally, in the fully spin-
and valley-polarized regime, the electron system exhibits an insulating
behavior.
"
